objectid,filename,youtubeid,vimeoid,title,,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll002,sur-her1.jpg,,,Chicken ,Museo nan Surigao,2016-05-24,Chicken made of Bronze,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
coll003,sur-her2.jpg,,,Jars,Museo nan Surigao,2016-05-24,The old Jars,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
coll004,sur-her3.jpg,,,Rocks,Museo nan Surigao,2016-05-24,The old Rocks,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
coll005,sur-her4.jpg,,,Painted Artwork,Museo nan Surigao,2016-05-24,The Painted artworks,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
coll006,sur-her5.jpg,,,Stones,Museo nan Surigao,2016-05-24,Internation Collection of Stones,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
coll007,sur-her6.jpg,,,Contemporary Arts,Museo nan Surigao,2012-07-16,The Contemporary Arts,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
coll008,sur-her7.JPG,,,Map of Surigao,,2015-08-03,Map of Surigao Province in 1918,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
coll009,sur-her8.jpg,,,Bomb,ABS-CBN News,2017-01-18,World War II Bomb,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
coll010,sur-her9.jpg,,,Sugarcane Crusher,Surigaonon Heritage Center,2009-01-09,The old Sugarcane Crusher,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
coll011,sur-her10.jpg,,,Musical Instruments,Surigaonon Heritage Center,2009-01-09,Different kinds of Musical Instruments,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
coll012,sur-her11.jpg,,,Chromite Rush ,Surigaonon Heritage Center,2009-01-09,Chromite Rush (1990) in Dinagat Islands,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
coll013,sur-her12.jpg,,,Wooden Plates ,Surigaonon Heritage Center,2009-01-09,Wooden plates for gold panning,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
,sur-her13.jpg,,,Old Coffins ,Surigaonon Heritage Center,2009-01-09,Relic of the old coffins of Mamanwas,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
,sur-her14.jpg,,,Badjo,Surigaonon Heritage Center,2009-01-09,"""Badjo"", in tagalog ""bayo"". A traditional tool used to extract the rice from its husks. ",universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
,sur-her15.jpg,,,Campana de Casa Real,Surigaonon Heritage Center,2009-01-09,A relic of the old belfry of the Surigao Cathedral,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,,,,,,
