objectid,filename,youtubeid,vimeoid,title,,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Surher 1.jpg,,,Chicken ,Museo nan Surigao,2016,Chicken made of Bronze,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1959,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll002,Surher 2.jpg,,,Jars,Museo nan Surigao,2016,The old Jars,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1960,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll003,Surher 3.jpg,,,Rocks,Museo nan Surigao,2016,The old Rocks,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1961,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll004,Surher 4.jpg,,,Painted Artwork,Museo nan Surigao,2016,The Painted artworks,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1962,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll005,Surher 5.jpg,,,Stones,Museo nan Surigao,2016,Internation Collection of Stones,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1963,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll006,Surher 6.jpg,,,Contemporary Arts,Museo nan Surigao,2012,The Contemporary Arts,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1964,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll007,Surher 7.jpg,,,Map of Surigao,,2015,Map of Surigao Province in 1918,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1965,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll008,Surher 8.jpg,,,Bomb,ABS-CBN News,2017,World War II Bomb,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1966,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll009,Surher 9.jpg,,,Sugarcane Crusher,Surigaonon Heritage Center,2009,The old Sugarcane Crusher,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1967,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll010,Surher 10.jpg,,,Musical Instruments,Surigaonon Heritage Center,2009,Different kinds of Musical Instruments,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1968,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll011,Surher 11.jpg,,,Chromite Rush ,Surigaonon Heritage Center,2009,Chromite Rush (1990) in Dinagat Islands,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1969,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll012,Surher 12.jpg,,,Wooden Plates ,Surigaonon Heritage Center,2009,Wooden plates for gold panning,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1970,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll013,Surher 13.jpg,,,Old Coffins ,Surigaonon Heritage Center,2009,Relic of the old coffins of Mamanwas,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1971,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll014,Surher 14.jpg,,,Badjo,Surigaonon Heritage Center,2009,"""Badjo"", in tagalog ""bayo"". A traditional tool used to extract the rice from its husks. ",universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1972,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll015,Surher 15.jpg,,,Campana de Casa Real,Surigaonon Heritage Center,2009,A relic of the old belfry of the Surigao Cathedral,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1973,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
